modelo,umbral,AUC-ROC,Gini,PR-AUC,KS,F1,Recall,Precision,Accuracy,TP,FP,TN,FN,Tasa_Deteccion,split
LogReg,0.66,0.7528,0.5057,0.1883,0.3848,0.2692,0.4236,0.1973,0.8429,388,1579,10920,528,0.4236,VAL
LogReg,0.66,0.7372,0.4744,0.0415,0.3784,0.0876,0.3494,0.0501,0.8989,29,550,5340,54,0.3494,BACKTEST
LogReg,0.66,0.6618,0.3235,0.1314,0.2497,0.1285,0.5042,0.0736,0.7192,121,1522,4081,119,0.5042,LIVE
